YEAR;MO;DY;HOUR;T
2022;1;30;10;4.228333333
2022;1;30;11;4.955
2022;1;30;12;5.508333333
2022;1;30;13;5.485
2022;1;30;14;5.818333333
2022;1;30;15;5.04
2022;1;30;16;4.805
2022;1;30;17;4.5
2022;1;30;18;4.148333333
2022;1;30;19;4
2022;1;30;20;3.748333333
2022;1;30;21;3.315
2022;1;30;22;3.166666667
2022;1;30;23;3.391666667
2022;1;31;0;3.445
2022;1;31;1;3.448333333
2022;1;31;2;3.71
2022;1;31;3;3.175
2022;1;31;4;3.426666667
2022;1;31;5;4.221666667
2022;1;31;6;4.621666667
2022;1;31;7;4.608333333
2022;1;31;8;4.44
2022;1;31;9;3.96
2022;1;31;10;3.903333333
2022;1;31;11;3.92
2022;1;31;12;4.145
2022;1;31;13;3.481666667
2022;1;31;14;3.22
2022;1;31;15;2.911666667
2022;1;31;16;2.845
2022;1;31;17;2.718333333
2022;1;31;18;2.725
2022;1;31;19;3.058333333
2022;1;31;20;3.558333333
2022;1;31;21;3.583333333
2022;1;31;22;2.29
2022;1;31;23;2.275
2022;2;1;0;2.031666667
2022;2;1;1;1.863333333
2022;2;1;2;1.26
2022;2;1;3;1.62
2022;2;1;4;1.861666667
2022;2;1;5;1.828333333
2022;2;1;6;2.058333333
2022;2;1;7;2.05
2022;2;1;8;2.051666667
2022;2;1;9;2.503333333
2022;2;1;10;3.373333333
2022;2;1;11;3.896666667
2022;2;1;12;4.478333333
2022;2;1;13;5.308333333
2022;2;1;14;5.908333333
2022;2;1;15;6.323333333
2022;2;1;16;6.91
2022;2;1;17;7.436666667
2022;2;1;18;7.683333333
2022;2;1;19;7.785
2022;2;1;20;7.588333333
2022;2;1;21;7.641666667
2022;2;1;22;7.751666667
2022;2;1;23;7.898333333
2022;2;2;0;7.79
2022;2;2;1;7.625
2022;2;2;2;7.408333333
2022;2;2;3;7.358333333
2022;2;2;4;7.16
2022;2;2;5;7.06
2022;2;2;6;6.97
2022;2;2;7;6.9
2022;2;2;8;6.968333333
2022;2;2;9;7
2022;2;2;10;7.301666667
2022;2;2;11;7.616666667
2022;2;2;12;7.8
2022;2;2;13;7.538333333
2022;2;2;14;7.485
2022;2;2;15;7.54
2022;2;2;16;7.643333333
2022;2;2;17;7.358333333
2022;2;2;18;7.226666667
2022;2;2;19;7.495
2022;2;2;20;7.606666667
2022;2;2;21;7.518333333
2022;2;2;22;7.37
2022;2;2;23;7.363333333
2022;2;3;0;7.356666667
2022;2;3;1;7.2
2022;2;3;2;7.043333333
2022;2;3;3;6.821666667
2022;2;3;4;6.716666667
2022;2;3;5;6.52
2022;2;3;6;6.373333333
2022;2;3;7;6.283333333
2022;2;3;8;6.208333333
2022;2;3;9;5.965
2022;2;3;10;5.895
2022;2;3;11;5.81
2022;2;3;12;5.75
2022;2;3;13;5.526666667
2022;2;3;14;5.445
2022;2;3;15;5.741666667
2022;2;3;16;5.656666667
2022;2;3;17;5.355
2022;2;3;18;5.24
2022;2;3;19;5.155
2022;2;3;20;5.185
2022;2;3;21;5.095
2022;2;3;22;5.005
2022;2;3;23;5.005
2022;2;4;0;5.026666667
2022;2;4;1;5.1
2022;2;4;2;5.153333333
2022;2;4;3;5.235
2022;2;4;4;5.345
2022;2;4;5;5.356666667
2022;2;4;6;5.451666667
2022;2;4;7;5.525
2022;2;4;8;5.601666667
2022;2;4;9;5.875
2022;2;4;10;6.268333333
2022;2;4;11;6.733333333
2022;2;4;12;6.291666667
2022;2;4;13;6.368333333
2022;2;4;14;6.911666667
2022;2;4;15;6.9
2022;2;4;16;6.383333333
2022;2;4;17;4.145
2022;2;4;18;3.078333333
2022;2;4;19;2.51
2022;2;4;20;2.283333333
2022;2;4;21;1.941666667
2022;2;4;22;2.333333333
2022;2;4;23;2.633333333
2022;2;5;0;2.06
2022;2;5;1;1.951666667
