Temperature C;U_wind (m/s)
5.193333333;5.4
5.301666667;4.8
4.473333333;4.4
4.518333333;3.8
3.973333333;2.9
3.885;2.3
3.405;1.8
2.66;2
2.066666667;2.4
1.385;2.4
0.991666667;2
1.278333333;1.5
1.046666667;0.9
1.043333333;0.7
0.136666667;0.9
-0.233333333;1.1
-0.408333333;1.4
0.015;1.7
0.076666667;1.4
1.865;1.3
3.191666667;1.8
3.51;2.3
4.795;3
5.506666667;3.4
6.761666667;3.3
7.611666667;2.8
7.201666667;2.2
6.398333333;2.3
4.391666667;2.7
3.751666667;3.1
3.44;3.5
2.683333333;3.7
1.561666667;3.9
1.805;4
1.763333333;4.3
1.81;4.5
1.98;4.6
1.69;4.6
1.701666667;4.2
1.533333333;4.2
1.606666667;4.8
1.69;5.4
2.836666667;5.8
4.6;5.8
6.28;5.6
7.161666667;5.5
8.381666667;5.5
9.266666667;5.4
10.11;5.1
10.265;4.5
9.231666667;4.3
7.921666667;4.8
6.741666667;5.3
5.643333333;5.5
5.216666667;5.8
4.486666667;5.9
4.145;5.7
3.618333333;5.1
3.391666667;4.9
3.128333333;4.6
3.001666667;4
2.403333333;3.5
1.666666667;3.3
1.201666667;3.4
0.898333333;3.6
0.953333333;3.7
2.375;3.6
4.061666667;3
6.08;2.7
7.733333333;3
9.71;3
11.56166667;2.8
12.63833333;2.8
13.03166667;2.6
11.81166667;2.5
10.02666667;3
8.106666667;3.5
6.905;3.4
6.526666667;3.1
5.846666667;3
4.851666667;3.2
3.861666667;3.2
2.665;3.2
2.65;3.5
1.855;3.4
1.385;3.3
2.67;3.1
3.131666667;3
2.47;3.3
2.39;3.7
3.861666667;3.7
4.92;3.4
5.658333333;3
6.915;2.2
8.795;1.9
10.17333333;2
10.23166667;1.8
9.615;1.3
9.303333333;1
8.666666667;1
7.441666667;1.5
6.965;2
6.71;2
6.483333333;2.1
5.575;2.2
4.773333333;2.4
4.42;2.4
4.053333333;1.9
4.155;1.8
3.618333333;1.8
2.876666667;1.7
1.733333333;1.7
1.976666667;1.9
2.656666667;2.2
3.678333333;2.2
5.18;1.5
6.391666667;1.2
7.721666667;1.4
9.398333333;1.7
11.245;1.8
12.20833333;1.4
11.61;1.1
10.195;1.7
8.336666667;2.4
6.928333333;2.5
6.26;2.6
5.368333333;2.9
5.033333333;2.9
4.233333333;2.7
4.351666667;2.7
3.753333333;2.9
3.29;2.9
3.108333333;2.7
3.26;2.6
2.573333333;2.5
1.821666667;2.4
1.436666667;2.5
1.68;2.7
3.666666667;2.3
5.628333333;1.2
7.213333333;0.8
9.721666667;1.3
10.96666667;1.3
12.59833333;1.2
13.03;1.5
12.98833333;2
11.525;2.3
9.87;2.4
8.201666667;2.6
7.005;2.8
6.461666667;3
5.866666667;3.1
5.193333333;3.2
4.583333333;3.4
4.466666667;3.4
4.278333333;3.3
3.426666667;3.4
2.755;3.3
2.551666667;2.9
2.66;2.6
1.661666667;2.8
1.005;3.1
2.983333333;3
4.928333333;2.2
6.888333333;1.5
8.891666667;1.5
10.53166667;1.7
11.575;1.7
12.36333333;1.6
12.43333333;1.2
11.04833333;1.3
9.248333333;2.1
7.276666667;2.5
6.015;2.4
5.168333333;2.5
4.588333333;2.6
4.186666667;2.7
3.905;2.9
3.666666667;3
3.028333333;2.9
2.361666667;2.8
1.855;2.6
1.26;2.5
0.855;2.5
0.686666667;2.6
0.548333333;2.6
1.905;2
3.601666667;1.3
5.688333333;0.8
7.798333333;0.4
8.848333333;0.3
9.956666667;0.6
10.38;1
9.988333333;1.3
9.311666667;1.7
7.975;2.2
6.078333333;2.5
5.231666667;2.5
4.605;2.6
3.916666667;2.9
3.243333333;3.1
2.386666667;3
1.78;2.6
1.23;2.3
0.811666667;2.1
0.638333333;2
0.001666667;1.9
-0.945;2
-0.816666667;2
-0.32;1.9
0.198333333;1.8
2.31;2.2
3.205;2.8
5.02;3.5
5.398333333;3.9
6.36;4.5
6.395;4.9
5.108333333;5
4.561666667;4.6
3.786666667;4.1
2.833333333;4
1.796666667;3.9
0.77;3.8
0.325;3.7
-0.066666667;3.6
-0.578333333;3.2
-1.318333333;3
-1.705;2.9
