YEAR;MO;DY;HOUR;P;T
2022.0;1.0;17.0;18.0;224.74576271186442;4.418333333
2022.0;1.0;17.0;19.0;236.3050847457627;4.566666667
2022.0;1.0;17.0;20.0;238.35593220338984;5.02
2022.0;1.0;17.0;21.0;223.08474576271186;5.038333333
2022.0;1.0;17.0;22.0;251.27118644067798;5.003333333
2022.0;1.0;17.0;23.0;218.45762711864407;5.016666667
2022.0;1.0;18.0;0.0;242.32203389830508;5.011666667
2022.0;1.0;18.0;1.0;227.33898305084745;5.01
2022.0;1.0;18.0;2.0;246.89830508474577;4.92
2022.0;1.0;18.0;3.0;220.47457627118644;4.888333333
2022.0;1.0;18.0;4.0;244.32203389830508;4.806666667
2022.0;1.0;18.0;5.0;221.01694915254237;4.796666667
2022.0;1.0;18.0;6.0;250.5593220338983;4.708333333
2022.0;1.0;18.0;7.0;244.0677966101695;4.555
2022.0;1.0;18.0;8.0;332.77966101694915;4.631666667
2022.0;1.0;18.0;9.0;300.96610169491527;4.796666667
2022.0;1.0;18.0;10.0;338.59322033898303;4.935
2022.0;1.0;18.0;11.0;288.6949152542373;5.28
2022.0;1.0;18.0;12.0;295.3898305084746;5.823333333
2022.0;1.0;18.0;13.0;275.7457627118644;6.808333333
2022.0;1.0;18.0;14.0;267.4406779661017;6.981666667
2022.0;1.0;18.0;15.0;274.96610169491527;6.906666667
2022.0;1.0;18.0;16.0;277.03389830508473;6.486666667
2022.0;1.0;18.0;17.0;240.89830508474577;5.976666667
2022.0;1.0;18.0;18.0;207.5593220338983;5.248333333
2022.0;1.0;18.0;19.0;233.47457627118644;4.453333333
2022.0;1.0;18.0;20.0;245.79661016949152;3.643333333
2022.0;1.0;18.0;21.0;241.96610169491527;2.628333333
2022.0;1.0;18.0;22.0;243.6271186440678;1.445
2022.0;1.0;18.0;23.0;246.8135593220339;1.003333333
2022.0;1.0;19.0;0.0;253.66101694915255;0.99
2022.0;1.0;19.0;1.0;249.11864406779662;1.31
2022.0;1.0;19.0;2.0;253.84745762711864;1.633333333
2022.0;1.0;19.0;3.0;246.3050847457627;1.823333333
2022.0;1.0;19.0;4.0;251.20338983050848;2.33
2022.0;1.0;19.0;5.0;242.98305084745763;2.375
2022.0;1.0;19.0;6.0;241.03389830508473;2.441666667
2022.0;1.0;19.0;7.0;260.35593220338984;2.501666667
2022.0;1.0;19.0;8.0;333.9491525423729;2.653333333
2022.0;1.0;19.0;9.0;343.79661016949154;2.821666667
2022.0;1.0;19.0;10.0;339.6271186440678;2.931666667
2022.0;1.0;19.0;11.0;335.08474576271186;2.991666667
2022.0;1.0;19.0;12.0;335.91525423728814;2.886666667
2022.0;1.0;19.0;13.0;336.23728813559325;2.85
